part_number,status
3RT2028-1AP00,NOT IN OLD CATALOGUE
5SL6201-7CC,FOUND EXACTLY
3RB3036-1UB0,FOUND EXACTLY
3RT2028-1AV00,NOT IN OLD CATALOGUE
3VA1140-5ED12-0AA0,FOUND EXACTLY
3SU1401-1BF20-1AA0,FOUND EXACTLY
3VA9263-0QC00,FOUND EXACTLY
5SY4101-7CC,FOUND EXACTLY
6SL3210-5BB13-7BV1,NOT IN OLD CATALOGUE
3RT2028-1AF00,NOT IN OLD CATALOGUE
6SL3266-1AC00-0VA0,NOT IN OLD CATALOGUE
U72O250EKT-SM1XX,NOT IN OLD CATALOGUE
3RB2163-4MC2,FOUND EXACTLY
U96O250EKT-SXXXX,NOT IN OLD CATALOGUE
1027040000,NOT IN OLD CATALOGUE
3WA9111-0AF02,NOT IN OLD CATALOGUE
3SU1102-6AA40-1AA0,FOUND EXACTLY
0122800000,FOUND EXACTLY
5SL6103-7CC,NOT IN OLD CATALOGUE
3VA2116-0HL32-0AA0,NOT IN OLD CATALOGUE
3VA1112-5ED22-0AA0,FOUND EXACTLY
3RP2505-1BW30,FOUND EXACTLY
3VA9267-0HA10,FOUND EXACTLY
U60O250ECT-SXXXX,NOT IN OLD CATALOGUE
3SU1102-6AA20-1AA0,FOUND EXACTLY
U4242O250EKT-XM2XX,NOT IN OLD CATALOGUE
5TT5842-2,NOT IN OLD CATALOGUE
3RW4028-1BB14,NOT IN OLD CATALOGUE
U72O250ECT-SM1XX,NOT IN OLD CATALOGUE
5SU9304-7KK16,FOUND EXACTLY
7760056077,NOT IN OLD CATALOGUE
3SU1100-0AB60-1BA0,FOUND EXACTLY
3SU1106-6AA50-1AA0,FOUND EXACTLY
3VA1180-5EE32-0AA0,FOUND EXACTLY
3UL2306-1A,FOUND EXACTLY
U48G250EKT-SMXXX,FOUND - FORMAT DIFFERENCE
3VA1220-5EF32-0AA0,FOUND EXACTLY
1061200000,FOUND EXACTLY
3VA2463-5HN42-0AA0,NOT IN OLD CATALOGUE
3VA1125-5EF42-0AA0,NOT IN OLD CATALOGUE
3VA2116-6HL42-0AA0,NOT IN OLD CATALOGUE
3VA1110-4ED12-0AA0,FOUND EXACTLY
3RT2028-1BB40,NOT IN OLD CATALOGUE
6SL3210-1KE23-2AF1,FOUND EXACTLY
U36G250EKT,FOUND EXACTLY
3VA2580-5HN42-0AA0,NOT IN OLD CATALOGUE
3RA1963-2A,NOT IN OLD CATALOGUE
3RW4947-8VB00,NOT IN OLD CATALOGUE
U5430O250ECT-XM2XX,NOT IN OLD CATALOGUE
3VA1163-4EE32-0AA0,FOUND EXACTLY
3WL9111-0AA51-0AA0,NOT IN OLD CATALOGUE
6SL3256-0AP00-0JA0,NOT IN OLD CATALOGUE
3UG4622-1AW30,NOT IN OLD CATALOGUE
U72O250EKT-SMXXX,NOT IN OLD CATALOGUE
1020180000,FOUND EXACTLY
3RA1973-2A,NOT IN OLD CATALOGUE
7760056090,NOT IN OLD CATALOGUE
5SU9304-7KK06,FOUND EXACTLY
3WL9111-0AH01-0AA0,NOT IN OLD CATALOGUE
5SL6120-7CC,FOUND EXACTLY
5SY6102-7CC,FOUND EXACTLY
5TT5840-0,FOUND EXACTLY
3VA1125-4ED12-0AA0,FOUND EXACTLY
5SY4116-7CC,FOUND EXACTLY
3SU1153-6AA60-1AA0,FOUND EXACTLY
3VA9267-0HC10,FOUND EXACTLY
5SY4280-7,NOT IN OLD CATALOGUE
U1818O250EKT-SMXXX,NOT IN OLD CATALOGUE
3NW6005-1,FOUND EXACTLY
3VA1220-6EF32-0AA0,FOUND EXACTLY
U48G250ECT-XMXXX,NOT IN OLD CATALOGUE
U36O250EKT-XMXXX,NOT IN OLD CATALOGUE
5SY4332-7CC,FOUND EXACTLY
3VA1120-3EE32-0AA0,FOUND EXACTLY
3SU1150-0AB40-1BA0,FOUND EXACTLY
5TL1663-0,NOT IN OLD CATALOGUE
3VA1125-6EF32-0AA0,FOUND EXACTLY
6EP3321-6SB00-0AY0,NOT IN OLD CATALOGUE
6EP3310-6SB00-0AY0,NOT IN OLD CATALOGUE
3SU1061-0JD40-0AA0,FOUND EXACTLY
U18O250ECT-SXXXX,NOT IN OLD CATALOGUE
LK11,FOUND EXACTLY
3VA2040-5HL36-0AA0,NOT IN OLD CATALOGUE
6SL3201-0BE23-8AA0,NOT IN OLD CATALOGUE
5ST3708,NOT IN OLD CATALOGUE
5ST3043,FOUND EXACTLY
5SL4206-7CC,FOUND EXACTLY
3RT2916-1CC00,NOT IN OLD CATALOGUE
3VA1196-6EF32-0AA0,FOUND EXACTLY
3RT2026-1AP00,NOT IN OLD CATALOGUE
U60O250EKT-XMXXX,NOT IN OLD CATALOGUE
5SY6103-7CC,NOT IN OLD CATALOGUE
6SL3210-5BE31-1CV0,FOUND EXACTLY
1020140000,NOT IN OLD CATALOGUE
